investimento_fsa,coproducao,fomento_indireto,publico_total,qtd_sessoes,dias_cartaz,renda_total,independente,cat_duracao,animacao,documentario,ficcao,variedades,videomusical
False,False,True,351.0,28.0,28.0,2752.35,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,1609.0,12.0,11.0,16092.77,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,942.0,97.0,35.0,14199.54,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,1179.0,75.0,68.0,9404.25,True,LONGA METRAGEM,False,False,True,False,False
False,True,True,4780.0,367.0,46.0,58339.37,True,LONGA METRAGEM,False,False,True,False,False
False,True,False,7526.0,70.0,33.0,76353.27,False,LONGA METRAGEM,False,False,True,False,False
False,False,False,568.0,25.0,25.0,7833.79,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,1027.0,9.0,9.0,11809.54,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,2266.0,84.0,57.0,22420.46,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,14417.0,615.0,193.0,179392.18,True,LONGA METRAGEM,True,False,False,False,False
False,False,True,3978191.0,9782.0,106.0,45274441.66,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,2798.0,220.0,64.0,32427.95,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,11347.0,164.0,79.0,132139.06,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,42811.0,645.0,73.0,550019.13,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,817086.0,7137.0,91.0,8605812.48,True,LONGA METRAGEM,False,False,True,False,False
False,True,True,25936.0,311.0,62.0,372720.93,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,2376.0,5.0,5.0,21972.6,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,23.0,1.0,1.0,458.62,False,CURTA METRAGEM,False,False,False,False,True
False,False,True,1716774.0,918.0,51.0,18673695.63,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,188.0,21.0,19.0,578.26,True,MÉDIA METRAGEM,False,False,True,False,False
True,False,False,991.0,13.0,11.0,12614.94,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,5516.0,217.0,72.0,38663.75,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,7563.0,424.0,85.0,80229.75,True,LONGA METRAGEM,False,True,False,False,False
True,True,True,3869.0,189.0,84.0,37372.93,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,1946.0,11.0,11.0,15079.38,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,504.0,30.0,21.0,7474.29,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,491.0,91.0,54.0,5970.38,True,LONGA METRAGEM,False,False,True,False,False
