ano_exibicao,distribuidora,origem_empresa,publico,publico_br,renda,renda_br,titulos_exibidos,titulos_exibidos_br,titulos_lancados,titulos_lancados_br
2017,Polifilmes,Distribuição Nacional,40,40,206.0,206.0,2,2,0,0
2017,Polifilmes/Spcine,Distribuição Nacional,188,188,2225.58,2225.58,2,2,2,2
2017,Ponto De Equilíbrio,Distribuição Nacional,7,7,63.0,63.0,1,1,1,1
2017,Riofilme,Distribuição Nacional,3964,3964,44269.51,44269.51,1,1,1,1
2017,Rt Features,Distribuição Nacional,451,0,6700.2,0.0,1,0,1,0
2017,Santa Luzia Filmes,Distribuição Nacional,461,461,5858.28,5858.28,1,1,1,1
2017,Sant'Ana Filmes,Distribuição Nacional,89,89,986.12,986.12,1,1,0,0
2017,Sato Company,Distribuição Nacional,94,0,940.0,0.0,1,0,0,0
2017,Sequência Produções Artisticas,Distribuição Nacional,342,342,4265.39,4265.39,1,1,1,1
2017,Sereia Filmes,Distribuição Nacional,4207,4207,39101.34,39101.34,1,1,1,1
2017,Sony,Distribuição Internacional,16525344,87730,254080500.33,1517161.25,31,2,19,1
2017,Supo Mungam Films,Distribuição Nacional,83070,0,1262818.09,0.0,13,0,9,0
2017,Taus Audiovisuais,Distribuição Nacional,22,22,220.35,220.35,1,1,1,1
2017,Tb Produções,Distribuição Nacional,746,746,11272.72,11272.72,1,1,1,1
2017,Tucumán,Distribuição Nacional,16116,16068,221765.47,221354.47,7,5,4,4
2017,Tv Meio Ambiente,Distribuição Nacional,912,912,14606.1,14606.1,1,1,1,1
2017,Uci,Distribuição Nacional,9900,0,239902.0,0.0,5,0,1,0
2017,Umes,Distribuição Nacional,110,0,1666.0,0.0,1,0,1,0
2017,Universal,Distribuição Internacional,33443010,0,493840490.5,0.0,20,0,15,0
2017,Videofilmes,Distribuição Nacional,15958,15958,236324.04,236324.04,1,1,1,1
2017,Vilacine,Distribuição Nacional,2007,0,21494.96,0.0,1,0,1,0
2017,Vitrine Filmes,Distribuição Nacional,545901,535647,7119275.76,6972499.3,61,57,27,26
2017,Warner,Distribuição Internacional,30726837,768324,469321991.0,11008553.0,25,3,17,2
2017,Zahir Company,Distribuição Nacional,32053,32053,451907.65,451907.65,1,1,1,1
2017,Zeta Filmes,Distribuição Nacional,64217,0,800876.03,0.0,31,0,10,0
2018,A2 Filmes,Distribuição Nacional,22028,0,324281.0,0.0,2,0,2,0
2018,A2 Filmes/Alphaville Filmes,Distribuição Nacional,40337,0,638893.0,0.0,1,0,1,0
2018,Accorde Audiovisuais,Distribuição Nacional,150,150,990.0,990.0,2,2,2,2
2018,Alex Pires Duarte,Distribuição Nacional,947,947,10500.0,10500.0,1,1,0,0
2018,Alpha Filmes,Distribuição Nacional,43627,0,644304.0,0.0,2,0,2,0
2018,Alphaville Filmes,Distribuição Nacional,4941,0,58859.0,0.0,13,0,0,0
2018,Alphaville Filmes/Alpha Filmes,Distribuição Nacional,30,0,388.0,0.0,1,0,0,0
2018,Anagrama Filmes,Distribuição Nacional,343770,0,4984386.0,0.0,1,0,1,0
2018,Arco Audiovisual,Distribuição Nacional,10523,10523,120842.0,120842.0,1,1,1,1
2018,Arcoplex,Distribuição Nacional,1970,0,28933.0,0.0,1,0,1,0
2018,Arthouse,Distribuição Nacional,14512,14512,197399.0,197399.0,7,7,5,5
